Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
API Usuarios,250,113,71,451,52.01,0.000%,25.12058,171.21,3.34,6979.3
TOTAL,250,113,71,451,52.01,0.000%,25.12058,171.21,3.34,6979.3
