Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
API Usuarios,250,113,92,172,189,355,71,451,0.000%,25.12058,171.21,3.34
TOTAL,250,113,92,172,189,355,71,451,0.000%,25.12058,171.21,3.34
